protocol_id,config_id,experiment_id,mean_auc,mean_delta,positive_folds,delta_std,mean_abs_delta,max_abs_delta,min_delta,max_delta,mean_best_iteration,thread_count,feature_ids,features
catboost_fe10_round2_first_stage_v1,07f0d4012220,FE25,0.964704,0.000075,5,0.000034,0.000075,0.000116,0.000034,0.000116,8252.800000,10,FE25,unknown_activity_time + screen_minus_gaming_work_study
catboost_fe10_round2_first_stage_v1,07f0d4012220,FE22,0.964698,0.000069,4,0.000087,0.000076,0.000212,-0.000016,0.000212,8042.200000,10,FE22,unknown_activity_time + screen_minus_work_study
