fold,auc,reference_auc,delta_vs_reference,best_iteration,elapsed_seconds
1,0.9641418665945656,0.9640185992141054,0.00012326738046020136,10613,799.8
2,0.9646818554657394,0.9645679607407396,0.0001138947249997857,8753,667.7
3,0.9648693758106412,0.9648033277800838,6.604803055743069e-05,8099,644.7
4,0.9656281572350702,0.9656128028865006,1.5354348569585063e-05,9286,687.9
5,0.9645839922720325,0.964514905752514,6.908651951853528e-05,9215,631.9
