experiment_id,mean_auc,mean_delta,std_delta,mean_abs_delta,max_abs_delta,min_delta,max_delta,positive_folds,mean_best_iteration,mean_elapsed
NULL_A_AFFINE,0.9646444009402154,1.570155050385491e-05,7.028864772215482e-05,5.10379674304895e-05,0.00014762547620295052,-4.447120898587453e-05,0.00014762547620295052,3,7864.2,10m 54s
NULL_B_PERM_1001,0.9645310227926949,-9.767659701671594e-05,8.749744262410025e-05,0.00012103655988318084,0.0001764089490753351,-0.0001764089490753351,5.839990716616228e-05,1,7799.6,10m 54s
NULL_B_PERM_1002,0.9645068522903202,-0.00012184709939144778,5.990246762237495e-05,0.00012184709939144778,0.00018170509184545214,-0.00018170509184545214,-1.7133176631323188e-05,0,7698.0,10m 36s
